property_category,property_type,district,price,area,price_per_sqm
жилая,квартира,ЦАО,35274908,82.5,427830
жилая,квартира,ЦАО,13580079,58.3,232847
жилая,квартира,ЦАО,31227266,98.7,316423
жилая,квартира,ЦАО,17975585,66.3,271178
жилая,квартира,ЦАО,26847633,78.6,341445
жилая,квартира,ЦАО,26207587,87.2,300384
жилая,квартира,ЦАО,16281290,61.4,265255
жилая,квартира,ЦАО,17801409,65.6,271537
жилая,квартира,ЦАО,27291203,66.8,408341
жилая,квартира,ЦАО,17194045,66.0,260530
жилая,квартира,ЦАО,15120021,66.0,229180
жилая,квартира,ЦАО,21050355,67.0,314206
жилая,квартира,ЦАО,28346847,87.3,324564
жилая,квартира,ЦАО,35790378,116.7,306753
жилая,квартира,ЦАО,25239871,86.1,293224
жилая,квартира,ЦАО,16887648,59.9,282101
жилая,квартира,ЦАО,21805493,68.1,320243
жилая,квартира,ЦАО,17565586,58.0,302637
жилая,квартира,ЦАО,14045446,64.8,216596
жилая,квартира,ЦАО,32082073,83.7,383152
жилая,квартира,ЦАО,27983051,62.4,448361
жилая,квартира,ЦАО,13424087,52.4,256293
жилая,квартира,ЦАО,19800284,58.4,339017
жилая,квартира,ЦАО,26873529,87.5,307049
жилая,квартира,ЦАО,23979765,80.4,298164
жилая,квартира,ЦАО,30177405,97.4,309729
жилая,квартира,ЦАО,10153055,35.7,284368
жилая,квартира,ЦАО,18919919,53.7,352203
жилая,квартира,ЦАО,18666322,71.7,260321
жилая,квартира,ЦАО,14167913,63.2,224313
жилая,квартира,ЦАО,28845359,62.9,458790
жилая,квартира,ЦАО,29430168,82.5,356635
жилая,квартира,ЦАО,27231490,67.1,406115
жилая,квартира,ЦАО,43347258,95.6,453527
жилая,квартира,ЦАО,17839244,64.5,276709
жилая,квартира,ЦАО,42158587,94.1,447990
жилая,квартира,ЦАО,28421528,75.1,378566
жилая,квартира,ЦАО,17436887,69.1,252462
жилая,квартира,ЦАО,22705700,72.6,312833
жилая,квартира,ЦАО,19531288,60.9,320952
жилая,квартира,ЦАО,11404988,46.2,246762
жилая,квартира,ЦАО,29995645,76.5,391919
жилая,квартира,ЦАО,21716819,72.1,301143
жилая,квартира,ЦАО,28122636,80.1,351105
жилая,квартира,ЦАО,32287970,92.1,350414
жилая,квартира,ЦАО,23273138,63.0,369575
жилая,квартира,ЦАО,27431974,83.8,327339
жилая,квартира,ЦАО,23146325,67.6,342408
жилая,квартира,ЦАО,32074760,76.5,419306
жилая,квартира,ЦАО,20777738,75.1,276530
жилая,квартира,ЦАО,19740525,59.1,334214
жилая,квартира,ЦАО,28220978,84.3,334735
жилая,квартира,ЦАО,28969493,63.3,458007
жилая,квартира,ЦАО,20008594,69.6,287278
жилая,квартира,ЦАО,31062346,78.4,396143
жилая,квартира,ЦАО,21944452,70.1,312899
жилая,квартира,ЦАО,25910165,78.9,328399
жилая,квартира,ЦАО,29565076,94.5,312887
жилая,квартира,ЦАО,29214365,78.8,370941
жилая,квартира,ЦАО,19562697,78.4,249542
жилая,квартира,ЦАО,22350843,79.4,281510
жилая,квартира,ЦАО,25951791,77.6,334333
жилая,квартира,ЦАО,21754700,57.1,380789
жилая,квартира,ЦАО,21739997,63.7,341114
жилая,квартира,ЦАО,25674319,89.5,287022
жилая,квартира,ЦАО,20605633,62.0,332427
жилая,квартира,ЦАО,28705994,61.7,465573
жилая,квартира,ЦАО,28816148,88.2,326787
жилая,квартира,ЦАО,24066278,75.2,320051
жилая,квартира,ЦАО,22981182,53.9,426335
жилая,квартира,ЦАО,27138884,58.9,460475
жилая,квартира,ЦАО,33978322,73.1,464578
жилая,квартира,ЦАО,27815351,62.3,446487
жилая,квартира,ЦАО,21936704,61.1,358974
жилая,квартира,ЦАО,21538534,77.6,277566
жилая,квартира,ЦАО,29138872,78.5,371364
жилая,квартира,ЦАО,30651468,75.9,403983
жилая,квартира,ЦАО,37279088,88.1,423209
жилая,квартира,ЦАО,23904445,54.3,439945
жилая,квартира,ЦАО,25034080,79.6,314629
жилая,квартира,ЦАО,36251485,82.7,438213
жилая,квартира,ЦАО,41576904,95.0,437821
жилая,квартира,ЦАО,20733264,70.3,295047
жилая,квартира,ЦАО,22146039,77.5,285846
жилая,квартира,ЦАО,27094935,109.7,246946
жилая,квартира,ЦАО,19674663,68.8,286043
жилая,квартира,ЦАО,15602989,67.9,229722
жилая,квартира,ЦАО,34146539,98.4,346997
жилая,квартира,ЦАО,18448409,64.0,288056
жилая,квартира,ЦАО,45777463,110.8,413021
жилая,квартира,ЦАО,13470754,44.6,301880
жилая,квартира,ЦАО,17639649,68.3,258144
жилая,квартира,ЦАО,21483233,82.6,260166
жилая,квартира,ЦАО,24662332,70.0,352388
жилая,квартира,ЦАО,42275995,101.5,416586
жилая,квартира,ЦАО,26163964,80.7,324375
жилая,квартира,ЦАО,15277101,52.2,292611
жилая,квартира,ЦАО,23469239,71.4,328520
жилая,квартира,ЦАО,9153526,30.0,305117
жилая,квартира,ЦАО,18464854,45.1,409642
жилая,квартира,ЦАО,25435272,68.4,371864
жилая,квартира,ЦАО,23408318,75.9,308500
жилая,квартира,ЦАО,17523104,60.3,290707
жилая,квартира,ЦАО,26125705,72.0,363042
жилая,квартира,ЦАО,28685866,76.7,373987
жилая,квартира,ЦАО,26219982,65.8,398643
жилая,квартира,ЦАО,33723390,72.7,463722
жилая,квартира,ЦАО,19499746,67.7,288016
жилая,квартира,ЦАО,17404988,66.2,263076
жилая,квартира,ЦАО,40230724,89.3,450612
жилая,квартира,ЦАО,31159842,87.2,357366
жилая,квартира,ЦАО,25244149,83.3,303138
жилая,квартира,ЦАО,22002982,74.7,294604
жилая,квартира,ЦАО,23646156,65.0,364000
жилая,квартира,ЦАО,27705572,71.7,386222
жилая,квартира,ЦАО,31309277,68.9,454539
жилая,квартира,ЦАО,34363576,94.6,363319
жилая,квартира,ЦАО,20161045,71.4,282321
жилая,квартира,ЦАО,33084256,79.9,414265
жилая,квартира,ЦАО,35642856,103.7,343761
жилая,квартира,ЦАО,25073207,59.9,418516
жилая,квартира,ЦАО,33902364,86.6,391662
жилая,квартира,ЦАО,21613025,74.8,288881
жилая,квартира,ЦАО,17697071,43.6,405433
жилая,квартира,ЦАО,16666257,62.6,266159
жилая,квартира,ЦАО,27707322,84.2,329035
жилая,квартира,ЦАО,25537324,78.7,324594
жилая,квартира,ЦАО,27178975,83.4,325939
жилая,квартира,ЦАО,23468452,53.3,440484
жилая,квартира,ЦАО,14634408,65.0,225018
жилая,квартира,ЦАО,20857206,79.7,261815
жилая,квартира,ЦАО,21605149,70.5,306607
жилая,квартира,ЦАО,34333980,79.8,430030
жилая,квартира,ЦАО,30641341,82.4,371904
жилая,квартира,ЦАО,29720911,85.4,348215
жилая,квартира,ЦАО,24580732,76.0,323240
жилая,квартира,ЦАО,24521198,76.5,320684
жилая,квартира,ЦАО,46072402,109.1,422154
жилая,квартира,ЦАО,38931667,107.3,362837
жилая,квартира,ЦАО,20752210,73.3,282974
жилая,квартира,ЦАО,19095136,62.4,305991
жилая,квартира,ЦАО,20305311,90.5,224395
жилая,квартира,ЦАО,25981580,80.1,324257
жилая,квартира,ЦАО,28302373,83.6,338665
жилая,квартира,ЦАО,25349836,55.2,459265
жилая,квартира,ЦАО,25794871,73.9,349070
жилая,квартира,ЦАО,22930254,49.3,465088
жилая,квартира,ЦАО,21098757,79.1,266618
жилая,квартира,ЦАО,14748603,51.1,288715
жилая,квартира,ЦАО,33225694,78.9,421160
жилая,квартира,ЦАО,29188016,75.1,388765
жилая,квартира,ЦАО,18591472,70.3,264441
жилая,квартира,ЦАО,21259270,76.8,276797
жилая,квартира,ЦАО,33570779,90.9,369288
жилая,квартира,ЦАО,25036991,80.0,313022
жилая,квартира,ЦАО,27178400,76.7,354240
жилая,квартира,ЦАО,42775652,105.9,403882
жилая,квартира,ЦАО,18965303,59.7,317707
жилая,квартира,ЦАО,28439713,84.7,335846
жилая,квартира,ЦАО,19373336,68.5,282842
жилая,апартаменты,ЦАО,27963041,62.2,449550
жилая,апартаменты,ЦАО,21216816,60.6,349983
жилая,апартаменты,ЦАО,29845969,66.3,450358
жилая,апартаменты,ЦАО,30560283,61.5,496935
жилая,апартаменты,ЦАО,13518948,36.9,366509
жилая,апартаменты,ЦАО,18201827,52.4,347077
жилая,апартаменты,ЦАО,15815423,40.5,390096
жилая,апартаменты,ЦАО,16758447,42.4,395198
жилая,апартаменты,ЦАО,20644143,51.9,397572
жилая,апартаменты,ЦАО,18564441,48.4,383520
жилая,апартаменты,ЦАО,15457127,47.6,324461
жилая,апартаменты,ЦАО,13867264,39.4,352370
жилая,апартаменты,ЦАО,18635424,70.5,264294
жилая,апартаменты,ЦАО,15436933,57.2,269795
жилая,апартаменты,ЦАО,18718917,51.5,363683
жилая,апартаменты,ЦАО,13099546,45.7,286331
жилая,апартаменты,ЦАО,22046779,50.0,441123
жилая,апартаменты,ЦАО,21643466,46.8,462893
жилая,апартаменты,ЦАО,24452773,57.8,423167
жилая,апартаменты,ЦАО,20046681,43.6,459917
жилая,апартаменты,ЦАО,16108303,37.8,426436
жилая,апартаменты,ЦАО,17576398,50.8,346082
жилая,апартаменты,ЦАО,16632995,46.6,357137
жилая,апартаменты,ЦАО,18923165,54.5,347211
жилая,апартаменты,ЦАО,18433531,52.4,351604
жилая,апартаменты,ЦАО,26424040,74.3,355808
жилая,апартаменты,ЦАО,16542021,43.0,384770
жилая,апартаменты,ЦАО,31543675,65.3,483100
жилая,апартаменты,ЦАО,15672208,39.7,394966
жилая,апартаменты,ЦАО,13525358,48.3,280024
жилая,апартаменты,ЦАО,17235519,47.1,366169
жилая,апартаменты,ЦАО,13138361,29.6,444493
жилая,апартаменты,ЦАО,28073932,50.3,558022
жилая,апартаменты,ЦАО,23199082,54.7,424305
жилая,апартаменты,ЦАО,31428337,57.1,550488
жилая,апартаменты,ЦАО,27361810,71.2,384130
жилая,апартаменты,ЦАО,18175456,46.4,391493
жилая,апартаменты,ЦАО,23203805,55.1,421393
жилая,апартаменты,ЦАО,21161400,54.9,385588
жилая,апартаменты,ЦАО,13523949,42.1,321555
жилая,комната,ЦАО,2723365,15.9,171600
жилая,комната,ЦАО,2761724,17.6,156751
жилая,комната,ЦАО,3314221,20.0,165580
жилая,комната,ЦАО,3162249,16.1,196929
жилая,комната,ЦАО,3416884,18.8,181512
жилая,комната,ЦАО,3738044,21.1,177125
жилая,комната,ЦАО,3937817,18.9,207880
жилая,комната,ЦАО,3700118,17.0,217751
жилая,комната,ЦАО,3976580,18.4,215791
жилая,комната,ЦАО,2561440,16.0,160189
жилая,комната,ЦАО,3349641,17.7,189069
жилая,комната,ЦАО,3571092,17.1,208703
жилая,комната,ЦАО,2965996,18.3,161687
жилая,комната,ЦАО,2617113,16.5,158898
жилая,комната,ЦАО,3618328,18.5,195732
жилая,комната,ЦАО,3047629,16.4,185293
жилая,комната,ЦАО,3457414,19.7,175701
жилая,комната,ЦАО,3451297,16.7,206851
жилая,комната,ЦАО,2243502,12.4,180859
жилая,комната,ЦАО,2531781,15.0,169013
жилая,комната,ЦАО,2876388,17.5,163933
жилая,комната,ЦАО,4619004,21.7,212944
жилая,комната,ЦАО,4177992,19.6,213451
жилая,комната,ЦАО,2307323,12.0,192724
жилая,комната,ЦАО,2168647,13.8,157108
жилая,комната,ЦАО,4177607,20.4,205193
жилая,дом,ЦАО,142153042,213.2,666752
жилая,дом,ЦАО,83084455,172.1,482687
жилая,дом,ЦАО,112967409,220.4,512450
жилая,дом,ЦАО,162625138,245.4,662806
жилая,дом,ЦАО,110894992,228.0,486289
жилая,дом,ЦАО,117489471,237.2,495340
жилая,дом,ЦАО,123673274,217.8,567943
жилая,дом,ЦАО,114628154,240.8,475998
жилая,дом,ЦАО,81240580,161.6,502640
жилая,дом,ЦАО,108559730,196.3,553156
жилая,дом,ЦАО,106169012,214.0,496132
жилая,дом,ЦАО,96120223,196.6,488864
жилая,дом,ЦАО,97939353,194.0,504813
жилая,дом,ЦАО,107376818,198.0,542439
жилая,дом,ЦАО,158222781,259.0,610880
жилая,дом,ЦАО,145047001,196.7,737243
жилая,дом,ЦАО,95800225,153.7,623234
жилая,дом,ЦАО,127131731,283.1,449093
жилая,дом,ЦАО,130108476,184.2,706319
жилая,дом,ЦАО,134887983,221.2,609665
жилая,таунхаус,ЦАО,45918328,85.7,536112
жилая,таунхаус,ЦАО,43316497,82.5,525312
жилая,таунхаус,ЦАО,54218147,101.3,535150
жилая,таунхаус,ЦАО,59238592,117.1,506024
жилая,таунхаус,ЦАО,42517940,132.7,320323
жилая,таунхаус,ЦАО,42283390,89.7,471165
жилая,таунхаус,ЦАО,37368557,101.0,370107
жилая,таунхаус,ЦАО,53374751,105.0,508280
жилая,таунхаус,ЦАО,41264423,105.2,392214
жилая,таунхаус,ЦАО,40154566,103.3,388803
жилая,таунхаус,ЦАО,52494562,104.5,502298
