district,publish_date,rooms,area,price,price_per_sqm,floor,total_floors,year_built,house_type,metro_time,address,url,ceiling_height,has_elevator,is_renovated,id,property_category,property_type,has_ventilation,has_air_conditioning,parking_spaces,commercial_purpose,land_area,has_utilities,purpose,has_security,has_electricity
ЦАО,2025-11-14,4.0,82.5,35274908,427830,17.0,17.0,2005.0,блочный,14,"г. Москва, ЦАО, ул. Примерная, д. 64",https://www.avito.ru/moskva/kvartira/4_k._82_m_17_17_et.8407207,2.7,True,True,avito_000001,жилая,квартира,,,,,,,,,
ЦАО,2025-11-05,1.0,58.3,13580079,232847,24.0,24.0,2010.0,монолитный,15,"г. Москва, ЦАО, ул. Примерная, д. 100",https://www.avito.ru/moskva/kvartira/1_k._58_m_24_24_et.3608949,2.8,True,True,avito_000002,жилая,квартира,,,,,,,,,
ЦАО,2025-11-07,4.0,98.7,31227266,316423,13.0,13.0,2007.0,монолитный,25,"г. Москва, ЦАО, ул. Примерная, д. 63",https://www.avito.ru/moskva/kvartira/4_k._98_m_13_13_et.7263647,2.9,True,True,avito_000003,жилая,квартира,,,,,,,,,
ЦАО,2025-11-28,2.0,66.3,17975585,271178,8.0,17.0,2007.0,блочный,9,"г. Москва, ЦАО, ул. Примерная, д. 64",https://www.avito.ru/moskva/kvartira/2_k._66_m_8_17_et.9891472,2.6,True,True,avito_000004,жилая,квартира,,,,,,,,,
ЦАО,2025-11-21,3.0,78.6,26847633,341445,6.0,23.0,1975.0,монолитный,30,"г. Москва, ЦАО, ул. Примерная, д. 29",https://www.avito.ru/moskva/kvartira/3_k._78_m_6_23_et.1589113,2.3,False,False,avito_000005,жилая,квартира,,,,,,,,,
ЦАО,2025-11-14,3.0,87.2,26207587,300384,5.0,16.0,1988.0,кирпичный,30,"г. Москва, ЦАО, ул. Примерная, д. 29",https://www.avito.ru/moskva/kvartira/3_k._87_m_5_16_et.6604781,2.4,True,True,avito_000006,жилая,квартира,,,,,,,,,
ЦАО,2025-11-24,1.0,61.4,16281290,265255,2.0,7.0,1986.0,кирпичный,26,"г. Москва, ЦАО, ул. Примерная, д. 70",https://www.avito.ru/moskva/kvartira/1_k._61_m_2_7_et.8717155,2.4,True,False,avito_000007,жилая,квартира,,,,,,,,,
ЦАО,2025-11-26,1.0,65.6,17801409,271537,14.0,14.0,1997.0,панельный,13,"г. Москва, ЦАО, ул. Примерная, д. 68",https://www.avito.ru/moskva/kvartira/1_k._65_m_14_14_et.6552303,2.8,True,False,avito_000008,жилая,квартира,,,,,,,,,
ЦАО,2025-11-28,4.0,66.8,27291203,408341,19.0,19.0,1996.0,панельный,16,"г. Москва, ЦАО, ул. Примерная, д. 59",https://www.avito.ru/moskva/kvartira/4_k._66_m_19_19_et.1360641,2.7,False,True,avito_000009,жилая,квартира,,,,,,,,,
ЦАО,2025-11-13,2.0,66.0,17194045,260530,10.0,22.0,2006.0,кирпичный,8,"г. Москва, ЦАО, ул. Примерная, д. 84",https://www.avito.ru/moskva/kvartira/2_k._65_m_10_22_et.9855010,2.9,False,False,avito_000010,жилая,квартира,,,,,,,,,
