district,publish_date,rooms,area,price,price_per_sqm,floor,total_floors,year_built,house_type,metro_time,address,url,ceiling_height,has_elevator,is_renovated,id,property_category,property_type,has_ventilation,has_air_conditioning,parking_spaces,commercial_purpose,land_area,has_utilities,purpose,has_security,has_electricity
ЦАО,2025-11-03,,912.1,10906080,11956,,,,,35,"г. Москва, ЦАО, земельный участок №432",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_912_sot.7279147,,,,avito_000338,земля,участок,,,,,912.1,False,сельскохозяйственное,,
ЦАО,2025-11-28,,761.0,6856389,9009,,,,,44,"г. Москва, ЦАО, земельный участок №638",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_761_sot.3934837,,,,avito_000339,земля,участок,,,,,761.0,True,коммерческое,,
ЦАО,2025-11-24,,834.2,9355879,11214,,,,,18,"г. Москва, ЦАО, земельный участок №321",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_834_sot.6062434,,,,avito_000340,земля,участок,,,,,834.2,False,ИЖС,,
ЦАО,2025-10-31,,886.0,10360740,11693,,,,,21,"г. Москва, ЦАО, земельный участок №35",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_886_sot.7797311,,,,avito_000341,земля,участок,,,,,886.0,True,сельскохозяйственное,,
ЦАО,2025-10-31,,708.2,7039946,9940,,,,,13,"г. Москва, ЦАО, земельный участок №704",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_708_sot.8902435,,,,avito_000342,земля,участок,,,,,708.2,False,коммерческое,,
ЦАО,2025-11-08,,844.6,8962611,10611,,,,,37,"г. Москва, ЦАО, земельный участок №551",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_844_sot.6386245,,,,avito_000343,земля,участок,,,,,844.6,False,ИЖС,,
ЦАО,2025-11-16,,810.8,6975565,8602,,,,,37,"г. Москва, ЦАО, земельный участок №656",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_810_sot.1490664,,,,avito_000344,земля,участок,,,,,810.8,False,сельскохозяйственное,,
ЦАО,2025-11-22,,950.6,10847601,11411,,,,,22,"г. Москва, ЦАО, земельный участок №733",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_950_sot.3821634,,,,avito_000345,земля,участок,,,,,950.6,True,ИЖС,,
ЦАО,2025-11-03,,1304.8,10148021,7777,,,,,39,"г. Москва, ЦАО, земельный участок №968",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_1304_sot.3599617,,,,avito_000346,земля,участок,,,,,1304.8,True,коммерческое,,
ЦАО,2025-11-06,,858.2,10641684,12400,,,,,16,"г. Москва, ЦАО, земельный участок №85",https://www.avito.ru/moskva/zemelnye_uchastki/uchastok_858_sot.5255289,,,,avito_000347,земля,участок,,,,,858.2,False,ИЖС,,
