district,publish_date,rooms,area,price,price_per_sqm,floor,total_floors,year_built,house_type,metro_time,address,url,ceiling_height,has_elevator,is_renovated,id,property_category,property_type,has_ventilation,has_air_conditioning,parking_spaces,commercial_purpose,land_area,has_utilities,purpose,has_security,has_electricity
ЦАО,2025-11-22,,296.7,54167884,80000,6.0,3.0,2017.0,коммерческий,21,"г. Москва, ЦАО, ул. Коммерческая, д. 30",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_296_m.5979831,2.7,,,avito_000260,коммерческая,офис,True,True,8.0,офис,,,,,
ЦАО,2025-11-23,,169.4,26506929,80000,2.0,7.0,2005.0,коммерческий,22,"г. Москва, ЦАО, ул. Коммерческая, д. 40",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_169_m.8302568,2.6,,,avito_000261,коммерческая,офис,False,True,3.0,офис,,,,,
ЦАО,2025-11-11,,247.9,28328103,80000,10.0,3.0,1991.0,коммерческий,24,"г. Москва, ЦАО, ул. Коммерческая, д. 25",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_247_m.5043557,2.8,,,avito_000262,коммерческая,офис,False,False,17.0,офис,,,,,
ЦАО,2025-11-03,,345.2,35601817,80000,2.0,9.0,2017.0,коммерческий,12,"г. Москва, ЦАО, ул. Коммерческая, д. 34",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_345_m.8513764,3.1,,,avito_000263,коммерческая,офис,False,True,1.0,офис,,,,,
ЦАО,2025-11-29,,222.2,35291209,80000,1.0,9.0,2005.0,коммерческий,18,"г. Москва, ЦАО, ул. Коммерческая, д. 49",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_222_m.7484328,2.7,,,avito_000264,коммерческая,офис,False,False,13.0,офис,,,,,
ЦАО,2025-11-17,,235.7,37045261,80000,1.0,1.0,2015.0,коммерческий,17,"г. Москва, ЦАО, ул. Коммерческая, д. 16",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_235_m.6843806,2.9,,,avito_000265,коммерческая,офис,True,False,2.0,офис,,,,,
ЦАО,2025-11-29,,248.7,30294030,80000,8.0,7.0,2022.0,коммерческий,21,"г. Москва, ЦАО, ул. Коммерческая, д. 29",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_248_m.4234986,2.8,,,avito_000266,коммерческая,офис,True,True,18.0,офис,,,,,
ЦАО,2025-11-24,,328.3,56645721,80000,10.0,5.0,1980.0,коммерческий,8,"г. Москва, ЦАО, ул. Коммерческая, д. 39",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_328_m.3083669,2.9,,,avito_000267,коммерческая,офис,True,False,7.0,офис,,,,,
ЦАО,2025-11-22,,398.5,47224096,80000,6.0,4.0,2003.0,коммерческий,13,"г. Москва, ЦАО, ул. Коммерческая, д. 4",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_398_m.1767326,2.6,,,avito_000268,коммерческая,офис,False,False,8.0,офис,,,,,
ЦАО,2025-11-23,,319.5,32562741,80000,3.0,9.0,1976.0,коммерческий,3,"г. Москва, ЦАО, ул. Коммерческая, д. 12",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_319_m.1316705,2.7,,,avito_000269,коммерческая,офис,False,True,8.0,офис,,,,,
ЦАО,2025-11-14,,149.8,26647490,80000,5.0,10.0,1990.0,коммерческий,6,"г. Москва, ЦАО, ул. Коммерческая, д. 17",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_149_m.3520219,3.2,,,avito_000270,коммерческая,офис,True,True,15.0,офис,,,,,
ЦАО,2025-11-27,,235.8,29053383,80000,2.0,3.0,2021.0,коммерческий,24,"г. Москва, ЦАО, ул. Коммерческая, д. 48",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_235_m.5315549,3.0,,,avito_000271,коммерческая,офис,False,False,8.0,офис,,,,,
ЦАО,2025-11-19,,373.7,46321942,80000,6.0,3.0,1970.0,коммерческий,15,"г. Москва, ЦАО, ул. Коммерческая, д. 19",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_373_m.6454839,2.4,,,avito_000272,коммерческая,офис,True,False,1.0,офис,,,,,
ЦАО,2025-11-10,,179.0,26576159,80000,9.0,3.0,2008.0,коммерческий,22,"г. Москва, ЦАО, ул. Коммерческая, д. 41",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_178_m.1449364,3.2,,,avito_000273,коммерческая,офис,True,True,7.0,офис,,,,,
ЦАО,2025-11-10,,143.5,26222238,80000,7.0,5.0,2015.0,коммерческий,18,"г. Москва, ЦАО, ул. Коммерческая, д. 24",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_143_m.1524958,2.7,,,avito_000274,коммерческая,офис,False,False,0.0,офис,,,,,
ЦАО,2025-10-31,,234.1,41168584,80000,3.0,4.0,2018.0,коммерческий,4,"г. Москва, ЦАО, ул. Коммерческая, д. 5",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_234_m.2583906,2.9,,,avito_000275,коммерческая,офис,False,True,3.0,офис,,,,,
ЦАО,2025-11-27,,347.9,59108557,80000,1.0,9.0,2011.0,коммерческий,8,"г. Москва, ЦАО, ул. Коммерческая, д. 7",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_347_m.3039462,2.8,,,avito_000276,коммерческая,офис,True,True,10.0,офис,,,,,
ЦАО,2025-11-29,,247.7,30721806,80000,1.0,10.0,2023.0,коммерческий,21,"г. Москва, ЦАО, ул. Коммерческая, д. 18",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_247_m.7819464,2.8,,,avito_000277,коммерческая,офис,True,False,10.0,офис,,,,,
ЦАО,2025-11-01,,436.6,53742669,80000,2.0,9.0,1970.0,коммерческий,9,"г. Москва, ЦАО, ул. Коммерческая, д. 41",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_436_m.9931711,2.9,,,avito_000278,коммерческая,офис,False,True,8.0,офис,,,,,
ЦАО,2025-11-16,,287.8,53491076,80000,2.0,2.0,2007.0,коммерческий,9,"г. Москва, ЦАО, ул. Коммерческая, д. 46",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_287_m.4628118,2.8,,,avito_000279,коммерческая,офис,False,True,0.0,офис,,,,,
ЦАО,2025-11-21,,178.4,22175828,80000,7.0,8.0,2003.0,коммерческий,4,"г. Москва, ЦАО, ул. Коммерческая, д. 26",https://www.avito.ru/moskva/kommercheskaya_nedvizhimost/ofis_178_m.5261053,2.8,,,avito_000280,коммерческая,офис,False,False,3.0,офис,,,,,
